id,region,vegClimZoneLab,index,pop,ref,skog,naturtype,tilstand,kartleggingsår
NINFP1810011608,Vestlandet,Boreonemoral sone (BN),1,0.0290788216567838,0.11622073703342016,11.204487661361696,"Flommyr, myrkant og myrskogsmark",sværtRedusert,2018
NINFP1810028941,Midt-Norge,Boreonemoral sone (BN),1,0.0769429752006494,0.0364764059914483,8.505414155006413,Åpen myrflate i boreonemoral til nordboreal sone,moderat,2018
NINFP1810024558,Østlandet,Mellomboreal sone (MB),0.9123,2.56362734315234,0.5590415785047743,10.507604438781735,"Flommyr, myrkant og myrskogsmark",dårlig,2018
NINFP2010002885,Midt-Norge,Sørboreal sone (SB),1,0.0100198855817113,0.6346605428059896,9.350461395263672,Terrengdekkende myr,dårlig,2020
NINFP1810022877,Midt-Norge,Boreonemoral sone (BN),1,0.0141791900007325,0.0364764059914483,8.505414155006413,Åpen myrflate i boreonemoral til nordboreal sone,god,2018
NINFP2010047895,Midt-Norge,Mellomboreal sone (MB),1,0.267372949324886,0.5928209092881944,7.7255006103515615,Slåttemyr,god,2020
NINFP1810012104,Nord-Norge,Nordboreal sone (NB),1,0.0260925904466895,0.30684792412651907,5.821801155090335,Åpen myrflate i boreonemoral til nordboreal sone,god,2018
NINFP1910024440,Vestlandet,Boreonemoral sone (BN),0.9924,0.940484405817599,0.11622073703342016,11.204487661361696,Øyblandingsmyr,god,2019
NINFP2010006886,Nord-Norge,Sørboreal sone (SB),0.9998,0.281137861299967,0.16896093156602648,6.985200634002686,Sørlig nedbørsmyr,sværtRedusert,2020
NINFP2610220356,Østlandet,Sørboreal sone (SB),0.9931,2.50924146960408,1.82999516805013,11.313953018188476,Rik gransumpskog,god,2025
NINFP1810028996,Midt-Norge,Boreonemoral sone (BN),1,0.010275040254029,0.0364764059914483,8.505414155006413,Kystnedbørsmyr,god,2018
NINFP2010014481,Nord-Norge,Mellomboreal sone (MB),0.08589999999999998,5.01685388107535,0.32338532765706385,6.634419552087784,Rik gråorsumpskog,god,2020
NINFP2010005371,Midt-Norge,Boreonemoral sone (BN),1,0.010020034543985,0.0364764059914483,8.505414155006413,Terrengdekkende myr,god,2020
NINFP1810029092,Østlandet,Mellomboreal sone (MB),0.9837,1.56631261366615,0.5590415785047743,10.507604438781735,"Flommyr, myrkant og myrskogsmark",dårlig,2018
NINFP1810025134,Midt-Norge,Nordboreal sone (NB),1,0.0218961940053949,0.19403215196397572,6.476105743408203,Åpen myrflate i boreonemoral til nordboreal sone,god,2018
NINFP2110053490,Sørlandet,Boreonemoral sone (BN),0.9612,3.05396273189189,1.7234797159830728,10.968219366073608,Rik svartorsumpskog,sværtRedusert,2021
NINFP1810021439,Midt-Norge,Boreonemoral sone (BN),1,0.0729637258333811,0.0364764059914483,8.505414155006413,Åpen myrflate i boreonemoral til nordboreal sone,moderat,2018
NINFP1810039803,Midt-Norge,Boreonemoral sone (BN),1,0.0123390376891495,0.0364764059914483,8.505414155006413,Kystnedbørsmyr,dårlig,2018
NINFP1810036470,Midt-Norge,Boreonemoral sone (BN),1,0.0143116040081185,0.0364764059914483,8.505414155006413,Åpen myrflate i boreonemoral til nordboreal sone,dårlig,2018
NINFP1810024582,Østlandet,Mellomboreal sone (MB),0.9818,1.61323356126556,0.5590415785047743,10.507604438781735,"Flommyr, myrkant og myrskogsmark",god,2018
NINFP2010023946,Nord-Norge,Mellomboreal sone (MB),0.056599999999999984,5.30329334287836,0.32338532765706385,6.634419552087784,Rik gråorsumpskog,god,2020
NINFP2510188685,Nord-Norge,Mellomboreal sone (MB),1,0.0616692697590946,0.32338532765706385,6.634419552087784,Høgereligende og nordlig nedbørsmyr,moderat,2025
NINFP1910023808,Nord-Norge,Nordboreal sone (NB),1,0.0101510605592377,0.30684792412651907,5.821801155090335,Semi-naturlig myr,moderat,2019
NINFP2010054594,Vestlandet,Boreonemoral sone (BN),1,0.0123447490388962,0.11622073703342016,11.204487661361696,Sørlig slåttemyr,god,2020
NINFP1910006342,Midt-Norge,Boreonemoral sone (BN),1,0.040266790587521,0.0364764059914483,8.505414155006413,Terrengdekkende myr,god,2019
NINFP1810033290,Midt-Norge,Nordboreal sone (NB),1,0.0565335086487481,0.19403215196397572,6.476105743408203,Åpen myrflate i boreonemoral til nordboreal sone,moderat,2018
NINFP2010024599,Nord-Norge,Mellomboreal sone (MB),1,0.0273935517117051,0.32338532765706385,6.634419552087784,Høgereligende og nordlig nedbørsmyr,god,2020
NINFP1810002408,Sørlandet,Boreonemoral sone (BN),1,1.19593208737163,1.7234797159830728,10.968219366073608,Kalkrik myr- og sumpskogsmark,sværtRedusert,2018
NINFP2110055967,Østlandet,Nordboreal sone (NB),0.9678,0.939660870025871,0.1333722601996528,6.176461364746097,Gammel fattig sumpskog,sværtRedusert,2021
NINFP2210104079,Nord-Norge,Mellomboreal sone (MB),1,0.0935478626198955,0.32338532765706385,6.634419552087784,Terrengdekkende myr,god,2022
NINFP2010055583,Midt-Norge,Boreonemoral sone (BN),1,0.0108195459272169,0.0364764059914483,8.505414155006413,Sørlig nedbørsmyr,god,2020
NINFP1810031079,Østlandet,Sørboreal sone (SB),0.9562,3.26460419723178,1.82999516805013,11.313953018188476,Kalkrik myr- og sumpskogsmark,sværtRedusert,2018
NINFP1910028999,Midt-Norge,Sørboreal sone (SB),1,0.0144810391190514,0.6346605428059896,9.350461395263672,Rik åpen sørlig jordvannsmyr,god,2019
NINFP1810027021,Midt-Norge,Boreonemoral sone (BN),1,0.044980167715566,0.0364764059914483,8.505414155006413,Åpen myrflate i boreonemoral til nordboreal sone,god,2018
NINFP2410178188,Vestlandet,Boreonemoral sone (BN),0.9709,1.53632432883545,0.11622073703342016,11.204487661361696,Semi-naturlig våteng,sværtRedusert,2024
NINFP2010044041,Nord-Norge,Mellomboreal sone (MB),0.11650000000000005,4.78406100338823,0.32338532765706385,6.634419552087784,Rik gråorsumpskog,moderat,2020
NINFP2110043206,Sørlandet,Nordboreal sone (NB),0.999,0.37909460440683,0.16949232313368057,6.457159194946289,Slåttemyr,sværtRedusert,2021
NINFP1910013292,Sørlandet,Boreonemoral sone (BN),1,1.19530224572121,1.7234797159830728,10.968219366073608,Kalkrik helofyttsump,god,2019
NINFP1810009274,Østlandet,Sørboreal sone (SB),0.8153,4.46123205976916,1.82999516805013,11.313953018188476,"Flommyr, myrkant og myrskogsmark",moderat,2018
NINFP1810011434,Midt-Norge,Mellomboreal sone (MB),1,0.109492485858202,0.5928209092881944,7.7255006103515615,Åpen myrflate i boreonemoral til nordboreal sone,moderat,2018
NINFP2110010989,Østlandet,Sørboreal sone (SB),0.392,6.66135897070248,1.82999516805013,11.313953018188476,Sørlig kaldkilde,god,2021
NINFP1810044891,Vestlandet,Boreonemoral sone (BN),0.9995,0.383593316466744,0.11622073703342016,11.204487661361696,Åpen myrflate i boreonemoral til nordboreal sone,god,2018
NINFP1810024866,Midt-Norge,Boreonemoral sone (BN),1,0.0323181280813013,0.0364764059914483,8.505414155006413,Åpen myrflate i boreonemoral til nordboreal sone,moderat,2018
NINFP1810022845,Midt-Norge,Boreonemoral sone (BN),1,0.090980331834928,0.0364764059914483,8.505414155006413,Åpen myrflate i boreonemoral til nordboreal sone,moderat,2018
NINFP1810018752,Østlandet,Mellomboreal sone (MB),0.34850000000000003,5.87077339646322,0.5590415785047743,10.507604438781735,"Flommyr, myrkant og myrskogsmark",sværtRedusert,2018
NINFP2410181096,Sørlandet,Sørboreal sone (SB),0.988,2.06650940034472,1.2920458645290798,9.933450393676758,Gammel fattig sumpskog,god,2024
