"id","meta_chm_mean","meta_chm_median","meta_chm_n","n_tiles","chm_source","model_input_res_m","ortho_source","region_filter"
"NINFP2510212266",1.08398380710377,0.0221485402435064,2778,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2510200282",0.396403159221466,0.0112112406641245,34163,6,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010004930",0.0100253656378593,0.010016780346632,95254,6,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2510211870",0.311774593495578,0.0103798247873783,49657,6,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2210083160",1.18106710655901,0.0552904903888702,35305,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1910006277",0.867479174817787,0.0168847925961018,20057,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2310135280",0.0106326000683182,0.0100955665111542,40016,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810003822",0.034443103257655,0.0100451428443193,139517,7,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2510208374",3.33720728123399,3.16965115070343,12856,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2110025994",0.0123481942195246,0.0100608696229756,53414,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2110029934",0.534458809355557,0.0260275984182954,32726,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810021199",0.0100680823527951,0.0100549766793847,18072,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810010461",0.0851138367033804,0.0102068278938532,161862,6,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810015067",0.0102349554212396,0.0100433528423309,44093,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2410150829",0.0105571883483187,0.0100911259651184,14971,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810026025",0.116342421217595,0.0103367082774639,454661,25,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2510192479",0.383862179066145,0.0122822672128677,124479,8,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2310132616",1.79929266928734,0.144327715039253,15929,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2310143153",0.0877443609072703,0.0102527625858784,50227,5,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1910014642",0.0750744890049259,0.0101875029504299,42128,5,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2210089409",0.0141602822131429,0.0100795566104352,57262,6,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2410176011",0.0100462688542451,0.0100289518013597,129347,10,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810022851",0.0100844406799007,0.0100310035049915,46415,6,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2510207898",0.229269901627743,0.0104590840637684,401104,14,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2110065673",0.107101376873055,0.0113186622038484,122322,9,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010055593",0.0102696340091489,0.0101883169263601,13448,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810030147",0.558876116959253,0.176167465746403,6462,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010039252",0.371478804872074,0.0145914796739817,5585,1,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810046310",0.0699228599477123,0.0100747076794505,192773,11,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1910005590",0.0111814287935201,0.0101098613813519,7221,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2510195416",0.0472878615008463,0.0109530529007316,13067,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2410166353",0.114188731521756,0.0105081885121763,35078,5,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810021398",1.33917307550611,0.161192186176777,11868,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010001598",0.0103424677879656,0.0101366275921464,34059,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2410180997",2.59132247932468,1.42416501045227,7651,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
