ecosystem,ano_round,Indicator,region,median,high,low,n
wetland,round2,fpci.min,Central,0.4858015928477325,0.5347055691355113,0.37951786859445524,53
wetland,round2,fpci.min,Western,0.3833060622999136,0.4424388291899366,0.32196301545290273,27
wetland,round2,fpci.min,Eastern,0.4556114308503757,0.5237016177959284,0.32355852370040056,31
wetland,round2,fpci.min,Southern,0.5125893898347059,0.5498480951867937,0.3861961619080832,25
wetland,round2,Light1,Norway,0.5922434497482755,0.7152222393717341,0.5565926611920263,133
wetland,round2,Light1,Northern,0.5834186921345532,0.7241409059929547,0.5503833834414537,37
wetland,round2,Light1,Central,0.6138156637837788,0.6947289368442512,0.5851410505719409,34
wetland,round2,Light1,Western,0.598529813587124,0.7110346616445274,0.5675366361374434,19
wetland,round2,Light1,Eastern,0.5876092404142795,0.7551475282930825,0.5364559135267792,23
wetland,round2,Light1,Southern,0.5956924585837251,0.7213048035405764,0.5776515490834707,20
wetland,round2,Light2,Norway,0.5562952395940135,0.776759183495066,0.43888783746923343,65
wetland,round2,Light2,Northern,0.5233064457354422,0.7221899480099099,0.3637412860628437,25
wetland,round2,Light2,Central,0.6815637967097405,0.7402369219170319,0.4896539725536761,19
wetland,round2,Light2,Western,0.7450964596881307,0.9634972884485586,0.5070359451135609,8
wetland,round2,Light2,Eastern,0.5788193107420765,0.9587876614645225,0.5122607985774379,8
wetland,round2,Light2,Southern,0.538267153125689,0.6257502991291342,0.5353364789707393,5
wetland,round2,Moist1,Norway,0.5697575974326661,0.6877285490710306,0.5122425218449197,158
wetland,round2,Moist1,Northern,0.5693218994943402,0.6873445078280098,0.5231990018088291,45
wetland,round2,Moist1,Central,0.5728281996934087,0.7329092440880001,0.49837810516513437,49
wetland,round2,Moist1,Western,0.5705642147018888,0.6563763238639807,0.5244146300989316,24
wetland,round2,Moist1,Eastern,0.5584738701757651,0.5932582790088264,0.5064383696734036,25
wetland,round2,Moist1,Southern,0.5709688521149486,0.7129103405458475,0.4758205326860589,15
wetland,round2,Moist2,Norway,0.7580983194990626,0.8466326502413998,0.5355974861646485,40
wetland,round2,Moist2,Northern,0.73510814210588,0.8145785852816885,0.5778494243905321,17
wetland,round2,Moist2,Central,0.8109643047325589,0.8634206182948206,0.7712752612788083,4
wetland,round2,Moist2,Western,0.9266467712725766,0.9491126547113093,0.881307513823412,3
wetland,round2,Moist2,Eastern,0.5050157178497102,0.5583314157811415,0.4693929315707984,6
wetland,round2,Moist2,Southern,0.7500437226757696,0.8917045762509341,0.5466570212771928,10
wetland,round2,pH1,Norway,0.43335736474962067,0.6439112230195286,0.3341608093318601,138
wetland,round2,pH1,Northern,0.3883757975764856,0.5175728905577932,0.312137410136617,36
wetland,round2,pH1,Central,0.5328032694988215,0.7232476178675263,0.3818519567673506,39
wetland,round2,pH1,Western,0.38500691144297594,0.48520267125346694,0.3285905697145882,27
wetland,round2,pH1,Eastern,0.392214803392365,0.6372155978845183,0.27488123793884117,17
wetland,round2,pH1,Southern,0.5429552754098572,0.6852466407701476,0.37499839446050454,19
wetland,round2,pH2,Norway,0.6815916812521773,0.8076208547546796,0.5277726001904528,60
wetland,round2,pH2,Northern,0.7123703247939283,0.8854939236076191,0.5268387659910803,26
wetland,round2,pH2,Central,0.7197017492634656,0.78902022062485,0.5786584160942513,14
wetland,round2,pH2,Western,NA,NA,NA,0
wetland,round2,pH2,Eastern,0.617675339379522,0.7908364371906099,0.5250770813774115,14
wetland,round2,pH2,Southern,0.5720652155262997,0.6655553943497886,0.5269021721952761,6
wetland,round2,Nitrogen1,Norway,0.7243599686255217,0.8322265891514111,0.5936472299927563,110
wetland,round2,Nitrogen1,Northern,0.7376684629958233,0.89916434316842,0.5576945972998345,32
wetland,round2,Nitrogen1,Central,0.7155068302612095,0.8180643113932253,0.6495416282752797,30
wetland,round2,Nitrogen1,Western,0.7114984048456425,0.786103654168838,0.5514341580801354,24
wetland,round2,Nitrogen1,Eastern,0.6747515098595851,0.7391362709927992,0.623544624372134,12
wetland,round2,Nitrogen1,Southern,0.7454133898468407,0.8259489838485804,0.7085053815329506,12
wetland,round2,Nitrogen2,Norway,0.670331791267825,0.8424300531544469,0.5699435021634149,88
wetland,round2,Nitrogen2,Northern,0.659492188980788,0.8691854245728439,0.5767845890235884,30
wetland,round2,Nitrogen2,Central,0.6519052523171995,0.9212833468522603,0.5715058852194774,23
wetland,round2,Nitrogen2,Western,0.7086290304440415,0.7193546624155247,0.6336111695837816,3
wetland,round2,Nitrogen2,Eastern,0.5951491633956859,0.670331791267825,0.5394701789827928,19
wetland,round2,Nitrogen2,Southern,0.75954273177543,0.9276951703813088,0.6768915331386421,13
