system:index,region,vegClimZoneLab,index,pop,ref,skog,ssbid
12992,Østlandet,Mellomboreal sone (MB),0.015000000000000013,9.505706787109375,0.5590415785047743,10.507604438781735,12992
12993,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,12993
12994,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,12994
12995,Østlandet,Mellomboreal sone (MB),0.9942,1.222076416015625,0.5590415785047743,10.507604438781735,12995
12996,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,12996
12997,Østlandet,Mellomboreal sone (MB),0.17510000000000003,7.037689208984375,0.5590415785047743,10.507604438781735,12997
12998,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,12998
12999,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,12999
13000,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,13000
13001,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,13001
13002,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,13002
13003,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,13003
13004,Østlandet,Mellomboreal sone (MB),0.9986,0.93316650390625,0.5590415785047743,10.507604438781735,13004
13005,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,13005
13006,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,13006
13007,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,13007
13008,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,13008
13009,Østlandet,Mellomboreal sone (MB),0.3016,6.1488189697265625,0.5590415785047743,10.507604438781735,13009
13010,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,13010
13011,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,13011
13012,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,13012
13013,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,13013
13014,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,13014
13015,Østlandet,Mellomboreal sone (MB),1,0.5590415785047743,0.5590415785047743,10.507604438781735,13015
13016,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13016
13017,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13017
13018,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13018
